"","SITEVISITIDREPDIVER","X.1","SITE","ISLAND","X","SITEVISITID","METHOD","OBS_YEAR","REGION","REGION_NAME","ANALYSIS_SEC","ANALYSIS_YEAR","ANALYSIS_STRATA","SEC_NAME","DATE_","REEF_ZONE","DEPTH_BIN","DEPTH_BIN_new","LATITUDE","LONGITUDE","DEPTH","HARD_CORAL","SOFT_CORAL","MA","CCA","TA","SAND","CYANO","OTHER_BENTHIC","ComplexityValue","MEAN_SH","SD_SH_DIFF","MAX_HEIGHT","nCounts","nReps","REP","DIVER","PISCIVORE","PLANKTIVORE","PRIMARY","SECONDARY","UNKNOWN","TotFish","ECOREGION","POP_STATUS","SITE_SLOPE_400m","REPLICATEID","PISCIVORE_SJs"
"16","2069APMA",1290,"HOW-00108","Howland",17,2069,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","03/02/2010","Forereef","Deep","Mid",0.81498,-176.62407,20,11.5,25,0,21,8.75,8.75,NA,0,2,NA,NA,NA,4,2,"A","PMA",38.75698199,123.1851933,17.14249346,25.81240479,0,204.8970736,"Phoenix/Tokelau/Northern Cook Islands","U",43.37228074,"1845951447",88.965368292043
"17","2069BEMD",1292,"HOW-00108","Howland",18,2069,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","03/02/2010","Forereef","Deep","Mid",0.81498,-176.62407,20,11.5,25,0,21,8.75,8.75,NA,0,2,NA,NA,NA,4,2,"B","EMD",11.3795627,15.1383647,4.032378415,7.348262759,0,37.89856857,"Phoenix/Tokelau/Northern Cook Islands","U",43.37228074,"1845951450",97.0231768882674
"18","2069BPMA",1291,"HOW-00108","Howland",15,2069,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","03/02/2010","Forereef","Deep","Mid",0.81498,-176.62407,20,11.5,25,0,21,8.75,8.75,NA,0,2,NA,NA,NA,4,2,"B","PMA",25.98505768,25.14399361,8.74355403,2.063425889,0,61.93603121,"Phoenix/Tokelau/Northern Cook Islands","U",43.37228074,"1845951453",57.4445738822638
"19","2072AEMD",1317,"HOW-00127","Howland",21,2072,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","03/02/2010","Forereef","Mid","Mid",0.81008,-176.62241,13,26.25,27.5,1.5,22.25,20,2.5,NA,0,2,NA,NA,NA,4,2,"A","EMD",19.3541009,13.31463005,12.51773856,5.518821047,0,50.70529055,"Phoenix/Tokelau/Northern Cook Islands","U",40.84610266,"1845951445",62.4507551884842
"20","2072APMA",1320,"HOW-00127","Howland",19,2072,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","03/02/2010","Forereef","Mid","Mid",0.81008,-176.62241,13,26.25,27.5,1.5,22.25,20,2.5,NA,0,2,NA,NA,NA,4,2,"A","PMA",23.82245554,24.44745748,14.69470279,19.52929202,0,82.49390783,"Phoenix/Tokelau/Northern Cook Islands","U",40.84610266,"1845951456",63.8965873855361
"21","2072BEMD",1318,"HOW-00127","Howland",22,2072,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","03/02/2010","Forereef","Mid","Mid",0.81008,-176.62241,13,26.25,27.5,1.5,22.25,20,2.5,NA,0,2,NA,NA,NA,4,2,"B","EMD",1.27032779,5.233065458,2.794079793,4.137368422,0,13.43484146,"Phoenix/Tokelau/Northern Cook Islands","U",40.84610266,"1845951446",5.75311403080903
"22","2072BPMA",1319,"HOW-00127","Howland",20,2072,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","03/02/2010","Forereef","Mid","Mid",0.81008,-176.62241,13,26.25,27.5,1.5,22.25,20,2.5,NA,0,2,NA,NA,NA,4,2,"B","PMA",18.78443551,18.29129595,7.485025338,8.557188953,0,53.11794576,"Phoenix/Tokelau/Northern Cook Islands","U",40.84610266,"1845951458",24.4530676324657
"23","2077AJLG",1284,"HOW-00105","Howland",25,2077,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","03/02/2010","Forereef","Deep","Deep",0.8009,-176.6212,21,35,3.75,1.25,47.5,7.5,5,NA,0,3,NA,NA,NA,4,2,"A","JLG",69.40796528,103.0155661,3.705276255,2.749214177,0,178.8780218,"Phoenix/Tokelau/Northern Cook Islands","U",38.87327832,"1845951448",164.729741969854
"24","2077AKMO",1282,"HOW-00105","Howland",23,2077,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","03/02/2010","Forereef","Deep","Deep",0.8009,-176.6212,21,35,3.75,1.25,47.5,7.5,5,NA,0,3,NA,NA,NA,4,2,"A","KMO",7.029645567,53.83189679,3.216840153,3.308973329,0,67.38735584,"Phoenix/Tokelau/Northern Cook Islands","U",38.87327832,"1845951451",24.730956632552
"25","2077BJLG",1281,"HOW-00105","Howland",26,2077,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","03/02/2010","Forereef","Deep","Deep",0.8009,-176.6212,21,35,3.75,1.25,47.5,7.5,5,NA,0,3,NA,NA,NA,4,2,"B","JLG",6.519910332,141.5552442,2.90638282,3.114869049,0,154.0964064,"Phoenix/Tokelau/Northern Cook Islands","U",38.87327832,"1845951455",12.7500599346105
"26","2077BKMO",1283,"HOW-00105","Howland",24,2077,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","03/02/2010","Forereef","Deep","Deep",0.8009,-176.6212,21,35,3.75,1.25,47.5,7.5,5,NA,0,3,NA,NA,NA,4,2,"B","KMO",63.4666873,456.4137625,13.17163598,5.902910509,0,538.9549963,"Phoenix/Tokelau/Northern Cook Islands","U",38.87327832,"1845951454",83.6913532702231
"27","2078AJLG",1400,"HOW-00406","Howland",29,2078,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","03/02/2010","Forereef","Mid","Mid",0.79838,-176.62007,12,62.5,3.75,2.5,22.5,2.5,6.25,NA,0,3.75,NA,NA,NA,4,2,"A","JLG",22.46601808,38.97545465,13.67090904,3.30307193,0,78.41545371,"Phoenix/Tokelau/Northern Cook Islands","U",38.78643765,"1845951457",30.7364376890018
"28","2078AKMO",1399,"HOW-00406","Howland",27,2078,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","03/02/2010","Forereef","Mid","Mid",0.79838,-176.62007,12,62.5,3.75,2.5,22.5,2.5,6.25,NA,0,3.75,NA,NA,NA,4,2,"A","KMO",3.223248129,146.1212687,14.64624191,6.504362502,0,170.4951212,"Phoenix/Tokelau/Northern Cook Islands","U",38.78643765,"1845951459",11.944280631433
"29","2078BJLG",1398,"HOW-00406","Howland",28,2078,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","03/02/2010","Forereef","Mid","Mid",0.79838,-176.62007,12,62.5,3.75,2.5,22.5,2.5,6.25,NA,0,3.75,NA,NA,NA,4,2,"B","JLG",13.95061846,3.043517855,14.45262895,3.78783727,0,35.23460254,"Phoenix/Tokelau/Northern Cook Islands","U",38.78643765,"1845951461",29.6968340457496
"30","2078BKMO",1397,"HOW-00406","Howland",30,2078,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","03/02/2010","Forereef","Mid","Mid",0.79838,-176.62007,12,62.5,3.75,2.5,22.5,2.5,6.25,NA,0,3.75,NA,NA,NA,4,2,"B","KMO",8.380867612,19.07086456,9.747014391,3.144206316,0,40.34295288,"Phoenix/Tokelau/Northern Cook Islands","U",38.78643765,"1845951460",14.2084467290336
"31","2079AJLG",1307,"HOW-00117","Howland",33,2079,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefShallow","Howland","03/02/2010","Forereef","Shallow","Shallow",0.80582,-176.62128,4,53.75,5,1.25,37.5,2.5,0,NA,0,3,NA,NA,NA,4,2,"A","JLG",21.36825297,36.85463761,34.98394264,7.665649211,0,100.8724824,"Phoenix/Tokelau/Northern Cook Islands","U",38.68657972,"1845951463",57.0939768754669
"32","2079AKMO",1308,"HOW-00117","Howland",31,2079,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefShallow","Howland","03/02/2010","Forereef","Shallow","Shallow",0.80582,-176.62128,4,53.75,5,1.25,37.5,2.5,0,NA,0,3,NA,NA,NA,4,2,"A","KMO",7.708706358,1.846866933,15.59193835,28.62749073,0,53.77500237,"Phoenix/Tokelau/Northern Cook Islands","U",38.68657972,"1845951464",10.0264987472841
"33","2079BJLG",1306,"HOW-00117","Howland",32,2079,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefShallow","Howland","03/02/2010","Forereef","Shallow","Shallow",0.80582,-176.62128,4,53.75,5,1.25,37.5,2.5,0,NA,0,3,NA,NA,NA,4,2,"B","JLG",60.53070976,12.21607453,15.86541897,44.5767413,0,133.1889446,"Phoenix/Tokelau/Northern Cook Islands","U",38.68657972,"1845951465",99.7047370836947
"34","2079BKMO",1305,"HOW-00117","Howland",34,2079,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefShallow","Howland","03/02/2010","Forereef","Shallow","Shallow",0.80582,-176.62128,4,53.75,5,1.25,37.5,2.5,0,NA,0,3,NA,NA,NA,4,2,"B","KMO",15.19381349,4.568175057,14.9212915,50.53468317,0,85.21796322,"Phoenix/Tokelau/Northern Cook Islands","U",38.68657972,"1845951466",15.1938134912136
"35","2081AEMD",1280,"HOW-00104","Howland",35,2081,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","04/02/2010","Forereef","Deep","Deep",0.80846,-176.61009,22,30,0,1.25,27.5,15,1.25,NA,0,2.25,NA,NA,NA,4,2,"A","EMD",26.28449663,46.01365876,5.147216079,13.7046126,0,91.14998407,"Phoenix/Tokelau/Northern Cook Islands","U",23.20613988,"1845951468",26.2844966313684
"36","2081APMA",1279,"HOW-00104","Howland",38,2081,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","04/02/2010","Forereef","Deep","Deep",0.80846,-176.61009,22,30,0,1.25,27.5,15,1.25,NA,0,2.25,NA,NA,NA,4,2,"A","PMA",15.21054835,56.87683575,10.57035047,25.00314981,0,107.6608844,"Phoenix/Tokelau/Northern Cook Islands","U",23.20613988,"1845951478",15.2105483528857
"37","2081BJLG",1277,"HOW-00104","Howland",36,2081,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","04/02/2010","Forereef","Deep","Deep",0.80846,-176.61009,22,30,0,1.25,27.5,15,1.25,NA,0,2.25,NA,NA,NA,4,2,"B","JLG",40.55309322,85.41616771,35.75696378,100.6096827,0,262.3359074,"Phoenix/Tokelau/Northern Cook Islands","U",23.20613988,"1845951484",56.0095090383923
"38","2081BKMO",1278,"HOW-00104","Howland",37,2081,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","04/02/2010","Forereef","Deep","Deep",0.80846,-176.61009,22,30,0,1.25,27.5,15,1.25,NA,0,2.25,NA,NA,NA,4,2,"B","KMO",33.34426019,65.37179622,7.245652837,5.593268769,0,111.554978,"Phoenix/Tokelau/Northern Cook Islands","U",23.20613988,"1845951467",68.2377685816873
"39","2082AJLG",1296,"HOW-00112","Howland",40,2082,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefShallow","Howland","04/02/2010","Forereef","Shallow","Shallow",0.81667,-176.61421,5,27.5,0,2.5,42.5,27.5,0,NA,0,2.25,NA,NA,NA,4,2,"A","JLG",1.94503709,2.067932121,18.03965809,3.052925528,0,25.10555282,"Phoenix/Tokelau/Northern Cook Islands","U",19.00709133,"1845951491",1.94503708999939
"40","2082AKMO",1294,"HOW-00112","Howland",41,2082,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefShallow","Howland","04/02/2010","Forereef","Shallow","Shallow",0.81667,-176.61421,5,27.5,0,2.5,42.5,27.5,0,NA,0,2.25,NA,NA,NA,4,2,"A","KMO",0.52445235,1.501121246,9.136534064,4.754736116,0,15.91684378,"Phoenix/Tokelau/Northern Cook Islands","U",19.00709133,"1845951469",0.524452350334826
"41","2082BJLG",1295,"HOW-00112","Howland",39,2082,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefShallow","Howland","04/02/2010","Forereef","Shallow","Shallow",0.81667,-176.61421,5,27.5,0,2.5,42.5,27.5,0,NA,0,2.25,NA,NA,NA,4,2,"B","JLG",3.607963637,11.81930689,20.72614172,3.724662853,0,39.8780751,"Phoenix/Tokelau/Northern Cook Islands","U",19.00709133,"1845951492",9.3328396150841
"42","2082BKMO",1293,"HOW-00112","Howland",42,2082,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefShallow","Howland","04/02/2010","Forereef","Shallow","Shallow",0.81667,-176.61421,5,27.5,0,2.5,42.5,27.5,0,NA,0,2.25,NA,NA,NA,4,2,"B","KMO",0,2.23671028,20.53128952,2.715395428,0,25.48339523,"Phoenix/Tokelau/Northern Cook Islands","U",19.00709133,"1845951474",0
"43","2083AEMD",1297,"HOW-00114","Howland",43,2083,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","04/02/2010","Forereef","Mid","Mid",0.80604,-176.60976,12,23.75,0,1.75,40,9.5,0,NA,0,4,NA,NA,NA,4,2,"A","EMD",50.16585895,20.73252042,5.644679981,12.54687892,0,89.08993828,"Phoenix/Tokelau/Northern Cook Islands","U",23.03933604,"1845951472",59.1314314293386
"44","2083APMA",1299,"HOW-00114","Howland",44,2083,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","04/02/2010","Forereef","Mid","Mid",0.80604,-176.60976,12,23.75,0,1.75,40,9.5,0,NA,0,4,NA,NA,NA,4,2,"A","PMA",28.29751267,37.71144933,9.983485309,42.61307934,0,118.6055266,"Phoenix/Tokelau/Northern Cook Islands","U",23.03933604,"1845951482",28.2975126657631
"45","2083BEMD",1298,"HOW-00114","Howland",46,2083,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","04/02/2010","Forereef","Mid","Mid",0.80604,-176.60976,12,23.75,0,1.75,40,9.5,0,NA,0,4,NA,NA,NA,4,2,"B","EMD",13.96553779,6.474714235,5.812307346,8.803426448,0,35.05598582,"Phoenix/Tokelau/Northern Cook Islands","U",23.03933604,"1845951473",13.9655377869255
"46","2083BPMA",1300,"HOW-00114","Howland",45,2083,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","04/02/2010","Forereef","Mid","Mid",0.80604,-176.60976,12,23.75,0,1.75,40,9.5,0,NA,0,4,NA,NA,NA,4,2,"B","PMA",13.73309197,5.722638603,13.98456174,3.798964769,0,37.23925708,"Phoenix/Tokelau/Northern Cook Islands","U",23.03933604,"1845951483",13.7330919684454
"47","2085AEMD",1270,"HOW-00100","Howland",47,2085,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","04/02/2010","Forereef","Deep","Deep",0.81117,-176.61102,22,16.25,0,0.5,54.5,16.25,12.5,NA,0,1.75,NA,NA,NA,4,2,"A","EMD",2.564823972,2.289509357,8.238636361,10.73855324,0,23.83152293,"Phoenix/Tokelau/Northern Cook Islands","U",23.73404934,"1845951481",2.56482397231794
"48","2085APMA",1271,"HOW-00100","Howland",49,2085,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","04/02/2010","Forereef","Deep","Deep",0.81117,-176.61102,22,16.25,0,0.5,54.5,16.25,12.5,NA,0,1.75,NA,NA,NA,4,2,"A","PMA",9.042003732,24.86608632,17.10484474,26.92767373,0,77.94060852,"Phoenix/Tokelau/Northern Cook Islands","U",23.73404934,"1845951486",9.04200373195001
"49","2085BJLG",1272,"HOW-00100","Howland",48,2085,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","04/02/2010","Forereef","Deep","Deep",0.81117,-176.61102,22,16.25,0,0.5,54.5,16.25,12.5,NA,0,1.75,NA,NA,NA,4,2,"B","JLG",44.67108392,7.602902927,9.872565665,4.549869207,0,66.69642172,"Phoenix/Tokelau/Northern Cook Islands","U",23.73404934,"1845951485",105.755715940935
"50","2085BKMO",1269,"HOW-00100","Howland",50,2085,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","04/02/2010","Forereef","Deep","Deep",0.81117,-176.61102,22,16.25,0,0.5,54.5,16.25,12.5,NA,0,1.75,NA,NA,NA,4,2,"B","KMO",6.481572963,13.57184963,5.073171766,4.081978469,0,29.20857283,"Phoenix/Tokelau/Northern Cook Islands","U",23.73404934,"1845951475",8.1789677699558
"51","2086AEMD",1315,"HOW-00123","Howland",52,2086,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","04/02/2010","Forereef","Mid","Mid",0.79638,-176.61092,12.5,48.75,0,0,18.75,32.5,0,NA,0,4,NA,NA,NA,4,2,"A","EMD",10.73969261,107.3960165,8.936689567,10.25557023,0,137.3279689,"Phoenix/Tokelau/Northern Cook Islands","U",27.10514554,"1845951476",22.1225876649497
"52","2086APMA",1316,"HOW-00123","Howland",54,2086,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","04/02/2010","Forereef","Mid","Mid",0.79638,-176.61092,12.5,48.75,0,0,18.75,32.5,0,NA,0,4,NA,NA,NA,4,2,"A","PMA",26.92954818,21.69576109,3.086602042,11.67408652,0,63.38599783,"Phoenix/Tokelau/Northern Cook Islands","U",27.10514554,"1845951488",40.877964084453
"53","2086BEMD",1313,"HOW-00123","Howland",51,2086,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","04/02/2010","Forereef","Mid","Mid",0.79638,-176.61092,12.5,48.75,0,0,18.75,32.5,0,NA,0,4,NA,NA,NA,4,2,"B","EMD",36.68377178,17.98208324,4.895313648,3.532879418,0,63.09404809,"Phoenix/Tokelau/Northern Cook Islands","U",27.10514554,"1845951477",39.6178755045348
"54","2086BPMA",1314,"HOW-00123","Howland",53,2086,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","04/02/2010","Forereef","Mid","Mid",0.79638,-176.61092,12.5,48.75,0,0,18.75,32.5,0,NA,0,4,NA,NA,NA,4,2,"B","PMA",23.03364074,106.9709454,10.48135922,50.39304471,0,190.8789901,"Phoenix/Tokelau/Northern Cook Islands","U",27.10514554,"1845951490",31.6713147923234
"55","2087AJLG",1312,"HOW-00122","Howland",56,2087,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","04/02/2010","Forereef","Mid","Mid",0.81356,-176.61226,13.5,61.25,0,0,33.75,5,0,NA,0,2.5,NA,NA,NA,4,2,"A","JLG",45.63815179,21.35081042,15.39754391,2.947657295,0,85.33416343,"Phoenix/Tokelau/Northern Cook Islands","U",22.91359962,"1845951487",124.103528913364
"56","2087AKMO",1309,"HOW-00122","Howland",55,2087,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","04/02/2010","Forereef","Mid","Mid",0.81356,-176.61226,13.5,61.25,0,0,33.75,5,0,NA,0,2.5,NA,NA,NA,4,2,"A","KMO",20.37752516,5.910326838,6.044444636,5.141472076,0,37.47376871,"Phoenix/Tokelau/Northern Cook Islands","U",22.91359962,"1845951479",22.4494094702175
"57","2087BJLG",1311,"HOW-00122","Howland",57,2087,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefMid","Howland","04/02/2010","Forereef","Mid","Mid",0.81356,-176.61226,13.5,61.25,0,0,33.75,5,0,NA,0,2.5,NA,NA,NA,4,2,"B","JLG",10.56465357,15.08905585,16.45399156,1.943146144,0,44.05084712,"Phoenix/Tokelau/Northern Cook Islands","U",22.91359962,"1845951489",10.5646535680022
